"nm_code","ncomb","cuci_code","cuci","sector"
"04039063","----- Superior al 3 % pero inferior o igual al 6 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039069","----- Superior al 6 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039071","---- Inferior o igual al 1,5 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039073","---- Superior al 1,5 % pero inferior o igual al 27 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039079","---- Superior al 27 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039091","---- Inferior o igual al 3 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039093","---- Superior al 3 % pero inferior o igual al 6 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04039099","---- Superior al 6 % en peso","02232","SUERO DE LECHE, LECHE Y CREMA CUAJADAS, KEFIR,ETC., FERMENTADOS O ACIDIFICADOS","Alimentación, bebidas y tabaco"
"04041000","- Lactosuero, aunque esté modificado, incluso concentrado o con adición de azúcar u otro edulcorante",,,
"04041002","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041004","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041006","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041012","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041014","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041016","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041026","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041028","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041032","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041034","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041036","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041038","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041048","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041052","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041054","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041056","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041058","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041062","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041072","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041074","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041076","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041078","----- Inferior o igual al 1,5 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041082","----- Superior al 1,5 % pero inferior o igual al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04041084","----- Superior al 27 % en peso","02241","SUERO","Alimentación, bebidas y tabaco"
"04049000","- Los demás",,,
"04049021","--- Inferior o igual al 1,5 % en peso","02249","PRODUCTOS A BASE DE CONSTITUYENTES NATURALES DE LA LECHE, N.E.P.","Alimentación, bebidas y tabaco"
"04049023","--- Superior al 1,5 % pero inferior o igual al 27 % en peso","02249","PRODUCTOS A BASE DE CONSTITUYENTES NATURALES DE LA LECHE, N.E.P.","Alimentación, bebidas y tabaco"
"04049029","--- Superior al 27 % en peso","02249","PRODUCTOS A BASE DE CONSTITUYENTES NATURALES DE LA LECHE, N.E.P.","Alimentación, bebidas y tabaco"
"04049081","--- Inferior o igual al 1,5 % en peso","02249","PRODUCTOS A BASE DE CONSTITUYENTES NATURALES DE LA LECHE, N.E.P.","Alimentación, bebidas y tabaco"
"04049083","--- Superior al 1,5 % pero inferior o igual al 27 % en peso","02249","PRODUCTOS A BASE DE CONSTITUYENTES NATURALES DE LA LECHE, N.E.P.","Alimentación, bebidas y tabaco"
"04049089","--- Superior al 27 % en peso","02249","PRODUCTOS A BASE DE CONSTITUYENTES NATURALES DE LA LECHE, N.E.P.","Alimentación, bebidas y tabaco"
"04051000","- Mantequilla (manteca)",,,
"04051011","---- En envases inmediatos de un contenido neto inferior o igual a 1 kg","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04051019","---- Las demás","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04051030","--- Mantequilla recombinada","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04051050","--- Mantequilla de lactosuero","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04051090","-- Las demás","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04052000","- Pastas lácteas para untar",,,
"04052010","-- Con un contenido de materias grasas superior o igual al 39 % pero inferior al 60 % en peso","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04052030","-- Con un contenido de materias grasas superior o igual al 60 % pero inferior o igual al 75 % en peso","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04052090","-- Con un contenido de materias grasas superior al 75 % pero inferior al 80 % en peso","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04059000","- Las demás",,,
"04059010","-- Con un contenido de materias grasas superior o igual al 99,3 % en peso, y de agua inferior o igual al 0,5 % en peso","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04059090","-- Las demás","02300","MANTEQUILLA Y OTRAS GRASAS Y ACEITES DERIVADOS DE LA LECHE","Alimentación, bebidas y tabaco"
"04061000","- Queso fresco (sin madurar), incluido el del lactosuero, y requesón",,,
"04061030","--- Mozzarella, también en líquido","02491","QUESO FRESCO (INC. QUESO FABRICADO A PARTIR DEL SUERO) SIN FERMENTAR Y CUAJADA","Alimentación, bebidas y tabaco"
"04061050","--- Los demás","02491","QUESO FRESCO (INC. QUESO FABRICADO A PARTIR DEL SUERO) SIN FERMENTAR Y CUAJADA","Alimentación, bebidas y tabaco"
"04061080","-- Los demás","02491","QUESO FRESCO (INC. QUESO FABRICADO A PARTIR DEL SUERO) SIN FERMENTAR Y CUAJADA","Alimentación, bebidas y tabaco"
"04062000","- Queso de cualquier tipo, rallado o en polvo","02410","QUESO RALLADO O EN POLVO, DE TODOS LOS TIPOS","Alimentación, bebidas y tabaco"
"04063000","- Queso fundido (excepto el rallado o en polvo)",,,
"04063010","-- En cuya fabricación solo hayan entrado el emmental, el gruyère y el appenzell y, eventualmente, como adición, el Gladis con hierbas (llamado schabziger), acondicionados para la venta al por menor y con un contenido de materias grasas en la materia seca inferior o igual al 56 % en peso","02420","QUESO ELABORADO, NO RALLADO NI EN POLVO","Alimentación, bebidas y tabaco"
"04063031","---- Inferior o igual al 48 % en peso","02420","QUESO ELABORADO, NO RALLADO NI EN POLVO","Alimentación, bebidas y tabaco"
"04063039","---- Superior al 48 %","02420","QUESO ELABORADO, NO RALLADO NI EN POLVO","Alimentación, bebidas y tabaco"
"04063090","--- Con un contenido de materias grasas superior al 36 % en peso","02420","QUESO ELABORADO, NO RALLADO NI EN POLVO","Alimentación, bebidas y tabaco"
"04064000","- Queso de pasta azul y demás quesos que presenten vetas producidas por Penicillium roqueforti",,,
"04064010","-- Roquefort","02430","QUESO TIPO ROQUEFORT","Alimentación, bebidas y tabaco"
"04064050","-- Gorgonzola","02430","QUESO TIPO ROQUEFORT","Alimentación, bebidas y tabaco"
"04064090","-- Los demás","02430","QUESO TIPO ROQUEFORT","Alimentación, bebidas y tabaco"
"04069000","- Los demás quesos",,,
"04069001","-- Que se destinen a una transformación","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069013","--- Emmental","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069015","--- Gruyère, sbrinz","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069017","--- Bergkäse, appenzell","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069018","--- Fromage fribourgeois, vacherin mont d'or y tête de moine","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069021","--- Cheddar","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069023","--- Edam","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069025","--- Tilsit","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069029","--- Kashkaval","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069032","--- Feta","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069035","--- Kefalotyri","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069037","--- Finlandia","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069039","--- Jarlsberg","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069050","---- De oveja o de búfala en recipientes con salmuera o en odres de piel de oveja o de cabra","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069061","------- Grana padano, parmigiano reggiano","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069063","------- Fiore sardo, pecorino","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069069","------- Los demás","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069073","------- Provolone","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069074","------- Maasdam","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069075","------- Asiago, caciocavallo, montasio, ragusano","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069076","------- Danbo, fontal, fontina, fynbo, havarti, maribo, samso","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069078","------- Gouda","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069079","------- Esrom, itálico, kernhem, saint-nectaire, saint-paulin, taleggio","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069081","------- Cantal, cheshire, wensleydale, lancashire, double gloucester, blarney, colby, monterey","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069082","------- Camembert","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069084","------- Brie","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069085","------- Kefalograviera, kasseri","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069086","-------- Superior al 47 % pero inferior o igual al 52 % en peso","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069089","-------- Superior al 52 % pero inferior o igual al 62 % en peso","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069092","-------- Superior al 62 % pero inferior o igual al 72 % en peso","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069093","------ Superior al 72 % en peso","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04069099","----- Los demás","02499","OTROS QUESOS (DIST. DE:RALLADO Y EN POLVO,ROQUEFORT,FRESCO SIN FERMENTAR)","Alimentación, bebidas y tabaco"
"04071100","-- De gallina de la especie Gallus domesticus","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04071900","-- Los demás",,,
"04071911","---- De pava o de gansa","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04071919","---- Los demás","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04071990","--- Los demás","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04072100","-- De gallina de la especie Gallus domesticus","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04072900","-- Los demás",,,
"04072910","--- De aves de corral, distintos de los de las aves de la especie Gallus domesticus","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04072990","--- Los demás","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04079000","- Los demás",,,
"04079010","-- De aves de corral","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04079090","-- Los demás","02510","HUEVOS DE AVE, CON CASCARA, FRESCOS, CONSERVADOS O COCIDOS","Alimentación, bebidas y tabaco"
"04081100","-- Secas",,,
"04081120","--- Impropias para el consumo humano","02521","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04081180","--- Las demás","02521","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04081900","-- Las demás",,,
"04081920","--- Impropias para el consumo humano","02522","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, EXCEPTO LOS DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04081981","---- Líquidas","02522","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, EXCEPTO LOS DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04081989","---- Las demás, incluso congeladas","02522","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, EXCEPTO LOS DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04089100","-- Secos",,,
"04089120","--- Impropios para el consumo humano","02521","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04089180","--- Los demás","02521","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04089900","-- Los demás",,,
"04089920","--- Impropios para el consumo humano","02522","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, EXCEPTO LOS DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04089980","--- Los demás","02522","HUEVOS DE AVE Y YEMAS DE HUEVO, SIN CASCARA, EXCEPTO LOS DESHIDRATADOS","Alimentación, bebidas y tabaco"
"04090000","Miel natural","06160","MIEL NATURAL","Alimentación, bebidas y tabaco"
"04101000","- Insectos",,,
"04101010","-- Frescos, refrigerados o congelados, excepto harina y polvo","09892","PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL, N.E.P.","Alimentación, bebidas y tabaco"
"04101091","--- Harina y polvo","09892","PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL, N.E.P.","Alimentación, bebidas y tabaco"
"04101099","--- Las demás","09892","PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL, N.E.P.","Alimentación, bebidas y tabaco"
"04109000","- Los demás","09892","PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL, N.E.P.","Alimentación, bebidas y tabaco"
"05010000","Cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello","29191","CABELLO HUMANO EN BRUTO;ESPERDICIOS DE CABELLO HUMANO","Materias primas"
"05021000","- Cerdas de cerdo o de jabalí y sus desperdicios","29192","CERDAS Y PELO DE CERDO Y JABALI; PELO DE TEJON Y OTROS PELOS PARA CEPILLERIA","Materias primas"
"05029000","- Los demás","29192","CERDAS Y PELO DE CERDO Y JABALI; PELO DE TEJON Y OTROS PELOS PARA CEPILLERIA","Materias primas"
"05040000","Tripas, vejigas y estómagos de animales, excepto los de pescado, enteros o en trozos, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados","29193","TRIPAS, VEJIGAS Y ESTOMAGOS DE ANIMALES (EXCEPTO DE PESCADO), ENTEROS Y TROZADOS","Materias primas"
"05051000","- Plumas de las utilizadas para relleno; plumón",,,
"05051010","-- En bruto","29195","PIELES Y OTRAS PARTES DE AVES, CON SUS PLUMAS O PLUMONES, SOLAMENTE LIMPIAS","Materias primas"
"05051090","-- Las demás","29195","PIELES Y OTRAS PARTES DE AVES, CON SUS PLUMAS O PLUMONES, SOLAMENTE LIMPIAS","Materias primas"
"05059000","- Los demás","29195","PIELES Y OTRAS PARTES DE AVES, CON SUS PLUMAS O PLUMONES, SOLAMENTE LIMPIAS","Materias primas"
"05061000","- Oseína y huesos acidulados","29111","HUESOS Y MEDULAS DE CUERNOS,SIN LABRAR,DESGRASADOS,PREPARADOS SIMPLEMENTE;POLVO","Materias primas"
"05069000","- Los demás","29111","HUESOS Y MEDULAS DE CUERNOS,SIN LABRAR,DESGRASADOS,PREPARADOS SIMPLEMENTE;POLVO","Materias primas"
"05071000","- Marfil; polvo y desperdicios de marfil","29116","MARFIL,CAREY,BARBAS Y CERDAS DE BALLENA,CUERNOS,ASTAS,PEZUñAS Y PICOS,SIN LABRAR","Materias primas"
"05079000","- Los demás","29116","MARFIL,CAREY,BARBAS Y CERDAS DE BALLENA,CUERNOS,ASTAS,PEZUñAS Y PICOS,SIN LABRAR","Materias primas"
"05080000","Coral y materias similares, en bruto o simplemente preparados, pero sin otro trabajo; valvas y caparazones de moluscos, crustáceos o equinodermos, y jibiones, en bruto o simplemente preparados, pero sin cortar en forma determinada, incluso en polvo y desperdicios",,,
"05080010","- Coral rojo (Corallium rubrum)","29115","CORAL Y SUSTANCIAS ANALOGAS,SIN LABRAR O PREPARADAS SIMPLEMENTE;CONCHAS Y JIBION","Materias primas"
"05080090","- Los demás","29115","CORAL Y SUSTANCIAS ANALOGAS,SIN LABRAR O PREPARADAS SIMPLEMENTE;CONCHAS Y JIBION","Materias primas"
"05100000","Ámbar gris, castóreo, algalia y almizcle; cantáridas; bilis, incluso desecada; glándulas y demás sustancias de origen animal utilizadas para la preparación de productos farmacéuticos, frescas, refrigeradas, congeladas o conservadas provisionalmente de otra forma","29198","AMBAR GRIS,ALGALIA,ALMIZCLE;CANTARIDAS;BILIS,ETC.PARA PREPARACION PROD.FARMACEU.","Materias primas"
"05111000","- Semen de bovino","29194","SEMEN BOVINO","Materias primas"
"05119100","-- Productos de pescado o de crustáceos, moluscos o demás invertebrados acuáticos; animales muertos del Capítulo 3",,,
"05119110","--- Desperdicios de pescado","29196","PROD.DE PECES,INVERTEBRADOS ACUATICOS,ANIMALES CAP.03,NO APTOS CONSUMO HUMANO","Materias primas"
"05119190","--- Los demás","29196","PROD.DE PECES,INVERTEBRADOS ACUATICOS,ANIMALES CAP.03,NO APTOS CONSUMO HUMANO","Materias primas"
"05119900","-- Los demás",,,
"05119910","--- Tendones, nervios, recortes y otros desperdicios similares de piel en bruto","29199","PRODUCTOS ANIMALES, N.E.P.","Materias primas"
"05119931","---- En bruto","29199","PRODUCTOS ANIMALES, N.E.P.","Materias primas"
"05119939","---- Las demás","29199","PRODUCTOS ANIMALES, N.E.P.","Materias primas"
"05119985","--- Los demás","29199","PRODUCTOS ANIMALES, N.E.P.","Materias primas"
"06011000","- Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo",,,
"06011010","-- Jacintos","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06011020","-- Narcisos","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06011030","-- Tulipanes","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06011040","-- Gladiolos","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06011090","-- Los demás","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06012000","- Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en vegetación o en flor; plantas y raíces de achicoria",,,
"06012010","-- Plantas y raíces de achicoria","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06012030","-- Orquídeas, jacintos, narcisos y tulipanes","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06012090","-- Los demás","29261","BULBOS,TUBERCULOS,RAICES TUBEROSAS,CEBOLLAS Y RIZOMAS,ETC.EXC.RAICES RUBRO 054.8","Materias primas"
"06021000","- Esquejes sin enraizar e injertos",,,
"06021010","-- De vid","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06021090","-- Los demás","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06022000","- Árboles, arbustos y matas, de frutas o de otros frutos comestibles, incluso injertados",,,
"06022010","-- Plantas de vid, injertadas o con raíces (barbados)","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06022020","--- Con raíces desnudas","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06022030","---- Agrios (cítricos)","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06022080","---- Los demás","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06023000","- Rododendros y azaleas, incluso injertados","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06024000","- Rosales, incluso injertados","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06029000","- Los demás",,,
"06029010","-- Micelios","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06029020","-- Plantas de piña (ananá)","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06029030","-- Plantas de hortalizas y plantas de fresas","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06029041","----- Forestales","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
"06029045","------ Esquejes enraizados y plantas jóvenes","29269","OTRAS PLANTAS (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS","Materias primas"
